year,exports_kaz_to_chn_comtrade,minerals_narrow_comtrade,minerals_broad_comtrade,oil_exports,data_source
2000,672548600.0,47784100.0,47784100.0,,WITS_PROXY
2001,646650700.0,300868800.0,300868800.0,,WITS_PROXY
2002,1018679900.0,561705500.0,561705500.0,,WITS_PROXY
2003,1653081000.0,777229800.0,777229800.0,,WITS_PROXY
2004,1966911131.0,791435855.0,791435855.0,,WITS_PROXY
2005,2422506647.0,1224287441.0,1224287441.0,,WITS_PROXY
2006,3592514164.0,1550757172.0,1550757172.0,,WITS_PROXY
2007,5635914311.0,2037169815.0,2037169815.0,,WITS_PROXY
2008,7676608963.0,2174683810.0,2174683810.0,,WITS_PROXY
2009,5888592501.0,1834702367.0,1834702367.0,,WITS_PROXY
2010,10122070037.0,3016195399.0,3016195399.0,,WITS_PROXY
2011,16291513411.0,4425537809.0,4425537809.0,,WITS_PROXY
2012,16484409000.0,4746079100.0,4746079100.0,,WITS_PROXY
2013,14373748042.0,3362165154.0,3362165154.0,,WITS_PROXY
2014,9799418417.0,2283764558.0,3849610031.0,,Comtrade_CHN_HS2
2015,5480137487.0,1484038463.0,2639884631.0,,Comtrade_CHN_HS2
2016,4214925896.0,1273263881.0,2346274302.0,,Comtrade_CHN_HS2
2017,5797975617.54,2109078210.56,3614953550.6299996,,Comtrade_CHN_HS2
2018,6307476192.48,1625936093.9,3195828963.57,,Comtrade_CHN_HS2
2019,8003866693.43,1628390246.2800002,3821044726.4400005,,Comtrade_CHN_HS2
2020,6836749155.66,2854078659.63,2854078659.63,,Comtrade_CHN_HS2
2021,6851902440.5,2866601881.29,2866601881.29,,Comtrade_CHN_HS2
2022,10461770663.88,3603762996.86,3603762996.86,,Comtrade_CHN_HS2
2023,14758685491.52,5054088848.47,7260798501.34,,Comtrade_CHN_HS2
2024,14897477202.63,5719538244.74,8802701948.2,,Comtrade_CHN_HS2
